"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","13 Aug 2024","22952.7","22962.75","22684.45","22705.80"
"NIFTY 500","12 Aug 2024","22862.9","22993.25","22753.75","22915.85"
"NIFTY 500","09 Aug 2024","22948.15","22982.45","22869.4","22923.50"
"NIFTY 500","08 Aug 2024","22842","22905.6","22676","22705.70"
"NIFTY 500","07 Aug 2024","22773.45","22870.85","22650.8","22848.90"
"NIFTY 500","06 Aug 2024","22696.95","22910.75","22406.05","22443.30"
"NIFTY 500","05 Aug 2024","22772.55","22868.35","22397.7","22542.45"
"NIFTY 500","02 Aug 2024","23296.1","23395.1","23225.65","23259.45"
"NIFTY 500","01 Aug 2024","23608.85","23637.75","23429.55","23506.60"
"NIFTY 500","31 Jul 2024","23495.85","23556","23459.6","23530.80"
"NIFTY 500","30 Jul 2024","23421.2","23530","23381.35","23440.90"
"NIFTY 500","29 Jul 2024","23423.15","23496.4","23326.05","23394.20"
"NIFTY 500","26 Jul 2024","22970.4","23306.75","22965.5","23292.05"
"NIFTY 500","25 Jul 2024","22753.2","22938.65","22732.2","22917.25"
"NIFTY 500","24 Jul 2024","22856.85","22965.45","22816.75","22921.45"
"NIFTY 500","23 Jul 2024","23022.8","23031.95","22307.2","22865.20"
"NIFTY 500","22 Jul 2024","22761.5","23001.05","22667.75","22942.65"
"NIFTY 500","19 Jul 2024","23232.5","23232.5","22833","22853.60"
"NIFTY 500","18 Jul 2024","23167.65","23233.85","22993.55","23210.05"
"NIFTY 500","16 Jul 2024","23258.2","23288.05","23181.35","23204.25"
"NIFTY 500","15 Jul 2024","23188.8","23234.3","23081.3","23209.85"
"NIFTY 500","12 Jul 2024","23086.25","23189.4","23021.4","23095.45"
"NIFTY 500","11 Jul 2024","23059.95","23063.1","22904.3","23005.25"
"NIFTY 500","10 Jul 2024","23124.15","23125.3","22685.65","22977.65"
"NIFTY 500","09 Jul 2024","23035.05","23082.35","22974.95","23067.35"
"NIFTY 500","08 Jul 2024","23029.35","23040.75","22897.95","22971.15"
"NIFTY 500","05 Jul 2024","22878.5","23011.8","22838.2","22987.65"
"NIFTY 500","04 Jul 2024","22937.6","22962.8","22866.7","22914.20"
"NIFTY 500","03 Jul 2024","22820.55","22871.65","22764.1","22851.20"
"NIFTY 500","02 Jul 2024","22806.3","22810.65","22592.2","22677.80"
"NIFTY 500","01 Jul 2024","22580.4","22739.7","22570.4","22727.60"
"NIFTY 500","28 Jun 2024","22592.25","22673.65","22537.7","22559.70"
"NIFTY 500","27 Jun 2024","22459.9","22571.65","22395.9","22537.40"
"NIFTY 500","26 Jun 2024","22379.5","22464.85","22309.5","22436.80"
"NIFTY 500","25 Jun 2024","22349.75","22391.75","22287.1","22370.65"
"NIFTY 500","24 Jun 2024","22150.65","22309.1","22073.65","22289.10"
"NIFTY 500","21 Jun 2024","22392.6","22393.3","22186.2","22236.20"
"NIFTY 500","20 Jun 2024","22293.55","22333.6","22182.2","22305.10"
"NIFTY 500","19 Jun 2024","22406.3","22406.3","22127.25","22224.90"
"NIFTY 500","18 Jun 2024","22323.55","22338.15","22253.35","22329.60"
"NIFTY 500","14 Jun 2024","22148.25","22229.4","22054.15","22214.30"
"NIFTY 500","13 Jun 2024","22120.75","22120.8","21992.15","22074.30"
"NIFTY 500","12 Jun 2024","21935.2","22023.9","21904.7","21960.95"
