Date,Price,Change 
2016-10-18,42175.00,0.73
2016-10-19,42194.00,0.05
2016-10-20,41996.00,-0.47
2016-10-21,41958.00,-0.09
2016-10-24,42058.00,0.24
2016-10-25,42415.00,0.85
2016-10-26,42116.00,-0.70
2016-10-27,42222.00,0.25
2016-10-28,42541.00,0.76
2016-10-30,42425.00,-0.27
2016-10-31,42402.00,-0.05
2016-11-01,43573.00,2.76
2016-11-02,44079.00,1.16
2016-11-03,43348.00,-1.66
2016-11-04,43398.00,0.12
2016-11-07,42933.00,-1.07
2016-11-08,43309.00,0.88
2016-11-09,43379.00,0.16
2016-11-10,44166.00,1.81
2016-11-11,42194.00,-4.46
2016-11-14,41017.00,-2.79
2016-11-15,41407.00,0.95
2016-11-16,41238.00,-0.41
2016-11-17,40740.00,-1.21
2016-11-18,40388.00,-0.86
2016-11-21,40517.00,0.32
2016-11-22,40790.00,0.67
2016-11-23,40526.00,-0.65
2016-11-24,40312.00,-0.53
2016-11-25,40498.00,0.46
2016-11-28,40672.00,0.43
2016-11-29,40838.00,0.41
2016-11-30,40089.00,-1.83
2016-12-01,39718.00,-0.93
2016-12-02,40327.00,1.53
2016-12-05,40241.00,-0.21
2016-12-06,41022.00,1.94
2016-12-07,41946.00,2.25
2016-12-08,41525.00,-1.00
2016-12-09,41221.00,-0.73
2016-12-12,41724.00,1.22
2016-12-13,41235.00,-1.17
2016-12-14,41728.00,1.20
2016-12-15,39295.00,-5.83
2016-12-16,39694.00,1.02
2016-12-19,39433.00,-0.66
2016-12-20,39426.00,-0.02
2016-12-21,39140.00,-0.73
2016-12-22,38970.00,-0.43
2016-12-23,38595.00,-0.96
2016-12-26,38513.00,-0.21
2016-12-27,39118.00,1.57
2016-12-28,39420.00,0.77
2016-12-29,39621.00,0.51
2016-12-30,39049.00,-1.44
2017-01-02,39136.00,0.22
2017-01-03,40270.00,2.90
2017-01-04,40267.00,-0.01
2017-01-05,40448.00,0.45
2017-01-06,40342.00,-0.26
2017-01-09,40688.00,0.86
2017-01-10,41096.00,1.00
2017-01-11,41008.00,-0.21
2017-01-12,40859.00,-0.36
2017-01-13,40887.00,0.07
2017-01-16,40960.00,0.18
2017-01-17,41599.00,1.56
2017-01-18,41997.00,0.96
2017-01-19,41270.00,-1.73
2017-01-20,41425.00,0.38
2017-01-23,41692.00,0.64
2017-01-24,41718.00,0.06
2017-01-25,41193.00,-1.26
2017-01-27,41432.00,0.58
2017-01-30,41372.00,-0.14
2017-01-31,41911.00,1.30
2017-02-01,41889.00,-0.05
2017-02-02,41801.00,-0.21
2017-02-03,41797.00,-0.01
2017-02-06,42286.00,1.17
2017-02-07,42502.00,0.51
2017-02-08,42345.00,-0.37
